loan_id,customer_id,loan_amount,interest_rate,issue_date,loan_status,annual_income,employment_length,scheduled_payment_date,actual_payment_date,amount_due,amount_paid,DaysPastDue,OutstandingBalance,DelinquencyTier
LN000001,10001,46905,8.0,2024-01-30,Current,83513,1 year,2025-01-24,2025-01-23,1370.62,1112.04,-1,45792.96,Current
LN000002,10002,10697,16.63,2022-02-02,Current,82314,1 year,2022-10-30,2022-10-28,1159.22,973.49,-2,9723.51,Current
LN000003,10003,40713,13.55,2023-04-05,In Grace Period,26703,1 year,2024-03-30,2024-04-03,486.58,708.3,4,40004.7,Bucket 1 (Low Risk)
LN000004,10004,27059,7.84,2023-01-25,Current,115165,5 years,2023-06-24,2023-06-22,943.47,1175.68,-2,25883.32,Current
LN000005,10005,29807,7.42,2022-10-28,Fully Paid,119800,5 years,2023-02-25,2023-02-24,573.48,354.99,-1,29452.01,Current
LN000006,10006,23965,23.73,2024-05-25,Current,51476,3 years,2024-10-22,2024-10-27,737.8,1062.82,5,22902.18,Bucket 1 (Low Risk)
LN000007,10007,29260,12.39,2023-11-18,Current,43717,5 years,2024-10-13,2024-10-13,593.77,940.97,0,28319.03,Bucket 1 (Low Risk)
LN000008,10008,35294,12.83,2023-10-18,Late,82570,10+ years,2024-04-15,2024-04-27,338.52,306.14,12,34987.86,Bucket 1 (Low Risk)
LN000009,10009,25673,13.22,2022-03-09,Current,173682,10+ years,2022-09-05,2022-09-06,774.76,1086.53,1,24586.47,Bucket 1 (Low Risk)
LN000010,10010,47129,14.26,2022-09-29,Current,172159,5 years,2023-02-26,2023-03-02,779.28,1377.39,4,45751.61,Bucket 1 (Low Risk)
LN000011,10011,19373,23.95,2022-05-22,In Grace Period,48831,<1 year,2022-07-21,2022-07-21,1250.5,1052.94,0,18320.06,Bucket 1 (Low Risk)
LN000012,10012,32666,16.74,2023-01-30,Current,147696,5 years,2023-06-29,2023-06-27,437.46,1116.34,-2,31549.66,Current
LN000013,10013,40190,19.52,2024-02-27,Late,54242,2 years,2024-09-24,2024-10-19,1444.58,508.35,25,39681.65,Bucket 1 (Low Risk)
LN000014,10014,22261,23.49,2024-02-20,Current,52894,10+ years,2024-07-19,2024-07-20,1215.01,483.41,1,21777.59,Bucket 1 (Low Risk)
LN000015,10015,40348,23.16,2023-06-28,Fully Paid,109975,3 years,2023-07-28,2023-07-27,1354.47,1414.92,-1,38933.08,Current
LN000016,10016,25153,10.31,2022-09-04,Fully Paid,45645,<1 year,2023-08-30,2023-09-04,1473.58,1279.23,5,23873.77,Bucket 1 (Low Risk)
LN000017,10017,39911,19.79,2022-05-12,Late,169127,1 year,2022-10-09,2022-12-20,807.77,885.19,72,39025.81,Bucket 3 (High Risk)
LN000018,10018,18880,22.72,2024-02-13,Late,77730,10+ years,2024-07-12,2024-09-06,1079.85,995.63,56,17884.37,Bucket 2 (Medium Risk)
LN000019,10019,33711,22.19,2023-04-08,Current,83903,<1 year,2023-10-05,2023-10-03,576.14,1005.97,-2,32705.03,Current
LN000020,10020,19432,6.13,2023-12-26,Late,85015,<1 year,2024-01-25,2024-03-12,585.61,163.77,47,19268.23,Bucket 2 (Medium Risk)
LN000021,10021,48842,14.74,2023-07-07,Current,174695,5 years,2024-03-03,2024-03-04,1269.0,1241.54,1,47600.46,Bucket 1 (Low Risk)
